<<<<<<< HEAD
param,min,max,n
=======
params,min,max,n
>>>>>>> Jem
init_primary,1000,1000,1
tchange1_prim,2,2,1
dur_change_prim,20,40,1
linear_up_rate,1.2,1.5,1
linear_down_rate,-1.2,-0.5,1
exp_up_rate,1.2,1.3,1
exp_down_rate,-1.5,-0.05,1
ts_length,200,200,1
prop_sec_gen,0.1,0.2,1
prop_sec_obs,0.2,1,1
prop_prim_obs,0.2,1,1
prop2_sec_gen,0.2,0.7,1
prop2_sec_obs,0.2,0.7,1
prop2_prim_obs,0.5,1,1
delay_sec_gen,7,9,1
delay_prim_obs,1,40,1
delay_sec_obs,1,40,1
tchange_sec_gen,40,80,1
tchange_sec_obs,80,90,1
tchange_prim_obs,120,150,1
dur_change_sec_gen,20,40,1
dur_change_sec_obs,20,40,1
dur_change_prim_obs,20,40,1
<<<<<<< HEAD
start_date,01/01/2000,01/01/2000,1
=======
start_date,2000-01-01,2000-01-01,1
>>>>>>> Jem
